concelho,populacao2011,populacao2018,densidade2011,densidade2018
Vila da Praia da Vitória,21035,21331,130.4,132.3
Oliveira do Hospital,20855,19331,88.9,82.4
Baião,20522,18891,117.6,108.2
Mealhada,20428,19892,184.6,179.8
Cinfães,20427,18470,85.4,77.2
Entroncamento,20206,21214,1471.9,1545.1
Celorico de Basto,20098,19075,111,105.3
Coruche,19944,17629,17.9,15.8
Mangualde,19880,18618,90.7,84.9
Soure,19245,17277,72.6,65.2
Monção,19230,17902,91,84.7
Vila Real de Santo António,19156,18888,312.8,308.4
Amares,18889,18114,230.5,221
Lousã,17604,17128,127.2,123.8
Alcochete,17569,19505,136.9,152
Montemor-o-Novo,17437,15740,14.1,12.8
Peso da Régua,17131,15830,180.6,166.9
Condeixa-a-Nova,17078,17597,123.2,126.9
Valpaços,16882,14932,30.8,27.2
São Pedro do Sul,16851,15488,48.3,44.4
Castelo de Paiva,16733,15567,145.5,135.4
Ponte de Sor,16722,15092,19.9,18
Cabeceiras de Basto,16710,15699,69.1,64.9
Caminha,16684,15873,122.2,116.3
Sertã,15880,14682,35.6,32.9
Batalha,15805,15840,152.8,153.2
Macedo de Cavaleiros,15776,14550,22.6,20.8
Serpa,15623,14374,14.1,13
Castro Daire,15339,13928,40.5,36.7
Penacova,15251,13812,70.4,63.7
Moura,15167,13749,15.8,14.3
